node   1  (   0,    0) (   3,    3) (   4,    4) (   2,    2) (   0,    0) (   9,    0) (   0,    0) (   0,    3) (   0,    4) (   0,    2)
          (   9,    0) (   0,    0) (   0,    3) (   0,    4) (   0,    2) (   9,    0) (   0,    0) (   0,    3) (   0,    4) (   0,    2)
          (   9,    0) (   0,    0) (   0,    3) (   0,    4) (   0,    2) (   9,    0) (   0,    0) (   0,    3) (   0,    4) (   0,    2)
          (   9,    0) (   0,    0) (   0,    3) (   0,    4) (   0,    2) (   9,    0) (   0,    0) (   0,    3) (   0,    4) (   0,    2)
          (   9,    0) (   0,    0) (   0,    3) (   0,    4) (   0,    2) (   9,    0) (   0,    0) (   0,    3) (   0,    4) (   0,    2)
          (   9,    0) (   0,    0) (   0,    2) (   0,    4) (   0,    2) (   9,    0) (   0,    0) (   0,    3) (   0,    4) (   0,    2)
          (   9,    0) (   0,    0) (   0,    2) (   0,    4) (   0,    2) (   7,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   9,    0) (   0,    0) (   0,    3) (   0,    4) (   0,    1) (   9,    0) (   0,    0) (   0,    3) (   0,    4) (   0,    1)
          (   7,    0) (   0,    0) (   0,    3) (   0,    4) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   7,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    4) (   0,    2)
          (   6,    0) (   0,    0) (   0,    2) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   9,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    1) (   9,    0) (   0,    0) (   0,    3) (   0,    2) (   0,    2)
          (   8,    0) (   0,    0) (   0,    2) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   6,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   6,    0) (   0,    0) (   0,    3) (   0,    2) (   0,    2)
          (   6,    0) (   0,    0) (   0,    3) (   0,    2) (   0,    2) (   8,    0) (   0,    0) (   0,    2) (   0,    3) (   0,    1)
          (   7,    0) (   0,    0) (   0,    3) (   0,    2) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   6,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   7,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   8,    0) (   0,    0) (   0,    3) (   0,    2) (   0,    2) (   6,    0) (   0,    0) (   0,    3) (   0,    2) (   0,    1)
          (   7,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    2) (   0,    2)
          (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    0) (   0,    2)
          (   6,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   6,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    0)
          (   6,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   7,    0) (   0,    0) (   0,    2) (   0,    3) (   0,    2)
          (   7,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   7,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   7,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   7,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   6,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   7,    0) (   0,    0) (   0,    2) (   0,    3) (   0,    2)
          (   8,    0) (   0,    0) (   0,    3) (   0,    2) (   0,    2) (   7,    0) (   0,    0) (   0,    3) (   0,    2) (   0,    1)
          (   8,    0) (   0,    0) (   0,    2) (   0,    3) (   0,    1) (   7,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   7,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   6,    0) (   0,    0) (   0,    2) (   0,    2) (   0,    2)
          (   8,    0) (   0,    0) (   0,    2) (   0,    3) (   0,    2) (   6,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   7,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
          (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2) (   8,    0) (   0,    0) (   0,    3) (   0,    3) (   0,    2)
